tweet_id,truncated,total_text_count,retweet_count,favorite_count,favorited,retweeted,lang
892420643555336193,False, 85,8853,39467,False,False,en
892177421306343426,False, 138,6514,33819,False,False,en
891815181378084864,False, 121,4328,25461,False,False,en
891689557279858688,False, 79,8964,42908,False,False,en
891327558926688256,False, 138,9774,41048,False,False,en
891087950875897856,False, 138,3261,20562,False,False,en
890971913173991426,False, 14,2158,12041,False,False,en
890729181411237888,False, 118,16716,56848,False,False,en
890609185150312448,False, 122,4429,28226,False,False,en
890240255349198849,False, 133,7711,32467,False,False,en
890006608113172480,False, 13,7624,31166,False,False,en
889880896479866881,False, 17,5156,28268,False,False,en
889665388333682689,False, 16,8538,38818,False,False,en
889638837579907072,False, 91,4735,27672,False,False,en
889531135344209921,False, 118,2321,15359,False,False,en
889278841981685760,False, 138,5637,25652,False,False,en
888917238123831296,False, 86,4709,29611,False,False,en
888804989199671297,False, 128,4559,26080,False,False,en
888554962724278272,False, 87,3732,20290,False,False,en
888078434458587136,False, 127,3653,22201,False,False,en
887705289381826560,False, 127,5609,30779,False,False,en
887517139158093824,False, 18,12082,46959,True,False,en
887473957103951883,False, 99,18781,69871,False,False,en
887343217045368832,False, 88,10737,34222,False,False,en
887101392804085760,False, 129,6167,31061,False,False,en
886983233522544640,False, 11,8084,35859,False,False,en
886736880519319552,False, 121,3443,12306,False,False,en
886680336477933568,False, 71,4610,22798,False,False,en
886366144734445568,False, 131,3316,21524,False,False,en
886267009285017600,False,27 15,4,117,False,False,en
886258384151887873,False, 94,6523,28469,False,False,en
886054160059072513,False, 5,108,0,False,False,und
885984800019947520,False, 14,7097,33382,False,False,en
885528943205470208,False, 19,6683,36689,False,False,en
885518971528720385,False, 47,3899,20788,False,False,en
885311592912609280,False, 133,19297,0,False,False,en
885167619883638784,False, 134,4556,22367,False,False,en
884925521741709313,False, 93,16439,68152,False,False,en
884876753390489601,False, 118,6096,28514,False,False,en
884562892145688576,False, 66,5100,24765,False,False,en
884441805382717440,False, 136,5856,27478,False,False,en
884247878851493888,False, 14,21298,74423,False,False,en
884162670584377345,False, 14,3128,20771,False,False,en
883838122936631299,False, 137,3586,22349,False,False,en
883482846933004288,False, 112,10407,46860,False,False,en
883360690899218434,False, 139,3825,22986,False,False,en
883117836046086144,False, 111,6949,37914,False,False,en
882992080364220416,False, 18,4122,24445,False,False,en
882762694511734784,False, 114,5134,28903,False,False,en
882627270321602560,False, 136,6342,28382,False,False,en
882268110199369728,False, 114,12118,45880,False,False,en
882045870035918850,False, 133,5203,29900,False,False,en
881906580714921986,False, 67,3533,24773,False,False,en
881666595344535552,False, 115,11099,51522,False,False,en
881633300179243008,False,13 91,7,129,False,False,en
881536004380872706,False, 13,16570,50199,False,False,en
881268444196462592,False, 138,5358,23501,False,False,en
880935762899988482,False, 72,2886,17346,False,False,en
880872448815771648,False, 137,3989,21734,False,False,en
880465832366813184,False, 114,6546,29075,False,False,en
880221127280381952,False, 18,4436,27640,False,False,en
880095782870896641,False, 129,4533,28150,True,False,en
879862464715927552,False, 91,3642,22667,False,False,en
879674319642796034,False,16 31,10,315,True,False,en
879492040517615616,False, 9,3323,23822,False,False,en
879415818425184262,False, 82,45849,107956,False,False,en
879376492567855104,False, 125,3261,17099,False,False,en
879130579576475649,False, 14,7181,0,False,False,en
879050749262655488,False, 132,4941,23022,False,False,en
879008229531029506,False, 94,2812,19317,False,False,en
878776093423087618,False, 126,4319,19763,False,False,en
878604707211726852,False, 45,7582,30931,False,False,en
878404777348136964,False, 14,1349,0,False,False,en
878316110768087041,False, 14,6965,0,False,False,en
878281511006478336,False, 14,1349,7913,False,False,en
878057613040115712,False, 115,7181,42876,False,False,en
877736472329191424,False, 93,17300,71144,False,False,en
877611172832227328,False, 122,83,0,False,False,en
877556246731214848,False, 139,3994,23258,False,False,en
877316821321428993,False, 137,5414,27907,False,False,en
877201837425926144,False, 128,5880,27755,False,False,en
876838120628539392,False, 125,3506,21125,False,False,en
876537666061221889,False, 117,4800,23869,False,False,en
876484053909872640,False, 127,2511,19163,False,False,en
876120275196170240,False, 14,4903,28490,False,False,en
875747767867523072,False, 125,4497,25773,False,False,en
875144289856114688,False, 133,5081,22185,False,False,en
875097192612077568,False, 96,6342,27997,False,False,en
875021211251597312,False, 115,4922,26022,False,False,en
874680097055178752,False, 92,4875,28439,False,False,en
874434818259525634,False, 14,15546,0,False,False,en
874296783580663808,False, 114,4308,26651,False,False,en
874057562936811520,False, 129,4125,23134,False,False,en
874012996292530176,False, 139,11007,35501,False,False,en
873697596434513921,False, 137,12518,0,False,False,en
873580283840344065,False, 135,4143,24837,False,False,en
873337748698140672,False, 14,1667,0,False,False,en
873213775632977920,False, 14,1667,7467,False,False,en
